Datetime,Price,Ticker,Value
2024-09-30,Open,MT.AS,23.316006498035104
2024-09-30,Volume,AC.PA,797486.0
2024-09-30,Volume,AI.PA,764794.0
2024-09-30,Volume,AIR.PA,1416305.0
2024-09-30,Volume,BNP.PA,3401241.0
2024-09-30,Volume,CS.PA,6292966.0
2024-09-30,Volume,MT.AS,3392018.0
2024-10-01,Close,AC.PA,38.31999969482422
2024-10-01,Close,AI.PA,170.94000244140625
2024-10-01,Close,AIR.PA,128.74000549316406
2024-10-01,Close,BNP.PA,61.13999938964844
2024-10-01,Close,CS.PA,34.41999816894531
2024-10-01,Close,MT.AS,23.286317825317383
2024-10-01,High,AC.PA,39.22999954223633
2024-10-01,High,AI.PA,173.82000732421875
2024-10-01,High,AIR.PA,132.9199981689453
2024-10-01,High,BNP.PA,62.02999877929688
2024-10-01,High,CS.PA,34.849998474121094
2024-10-01,High,MT.AS,23.543625423605462
2024-10-01,Low,AC.PA,37.84999847412109
2024-10-01,Low,AI.PA,169.83999633789062
2024-10-01,Low,AIR.PA,128.27999877929688
2024-10-01,Low,BNP.PA,60.52000045776367
2024-10-01,Low,CS.PA,34.13999938964844
2024-10-01,Low,MT.AS,23.11807831442116
2024-10-01,Open,AC.PA,39.16999816894531
2024-10-01,Open,AI.PA,173.72000122070312
2024-10-01,Open,AIR.PA,131.63999938964844
2024-10-01,Open,BNP.PA,61.66999816894531
2024-10-01,Open,CS.PA,34.599998474121094
2024-10-01,Open,MT.AS,23.266524497542385
2024-10-01,Volume,AC.PA,1122141.0
2024-10-01,Volume,AI.PA,662130.0
2024-10-01,Volume,AIR.PA,1423798.0
2024-10-01,Volume,BNP.PA,3016067.0
2024-10-01,Volume,CS.PA,3337011.0
2024-10-01,Volume,MT.AS,2318681.0
2024-10-02,Close,AC.PA,38.11000061035156
2024-10-02,Close,AI.PA,171.0
2024-10-02,Close,AIR.PA,127.33999633789062
2024-10-02,Close,BNP.PA,60.959999084472656
2024-10-02,Close,CS.PA,34.439998626708984
2024-10-02,Close,MT.AS,23.296215057373047
2024-10-02,High,AC.PA,38.29999923706055
2024-10-02,High,AI.PA,171.5
2024-10-02,High,AIR.PA,129.25999450683594
2024-10-02,High,BNP.PA,61.56999969482422
2024-10-02,High,CS.PA,34.540000915527344
2024-10-02,High,MT.AS,23.523832669549968
2024-10-02,Low,AC.PA,37.630001068115234
2024-10-02,Low,AI.PA,169.6999969482422
2024-10-02,Low,AIR.PA,127.1999969482422
2024-10-02,Low,BNP.PA,60.630001068115234
2024-10-02,Low,CS.PA,34.22999954223633
2024-10-02,Low,MT.AS,22.959736027374262
2024-10-02,Open,AC.PA,38.18000030517578
2024-10-02,Open,AI.PA,171.1999969482422
2024-10-02,Open,AIR.PA,128.6999969482422
2024-10-02,Open,BNP.PA,61.0099983215332
2024-10-02,Open,CS.PA,34.400001525878906
2024-10-02,Open,MT.AS,23.414971251728105
2024-10-02,Volume,AC.PA,547275.0
2024-10-02,Volume,AI.PA,481833.0
2024-10-02,Volume,AIR.PA,1861096.0
2024-10-02,Volume,BNP.PA,1856508.0
2024-10-02,Volume,CS.PA,3180692.0
2024-10-02,Volume,MT.AS,2457065.0
2024-10-03,Close,AC.PA,38.2599983215332
2024-10-03,Close,AI.PA,167.33999633789062
2024-10-03,Close,AIR.PA,126.55999755859376
2024-10-03,Close,BNP.PA,60.09000015258789
2024-10-03,Close,CS.PA,33.91999816894531
2024-10-03,Close,MT.AS,22.96963119506836
2024-10-03,High,AC.PA,38.2599983215332
2024-10-03,High,AI.PA,170.83999633789062
2024-10-03,High,AIR.PA,127.77999877929688
2024-10-03,High,BNP.PA,60.75
2024-10-03,High,CS.PA,34.630001068115234
2024-10-03,High,MT.AS,23.147767377230185
2024-10-03,Low,AC.PA,37.720001220703125
2024-10-03,Low,AI.PA,166.6199951171875
2024-10-03,Low,AIR.PA,125.72000122070312
2024-10-03,Low,BNP.PA,59.66999816894531
2024-10-03,Low,CS.PA,33.7599983215332
2024-10-03,Low,MT.AS,22.712325473718728
2024-10-03,Open,AC.PA,38.02999877929688
2024-10-03,Open,AI.PA,170.83999633789062
2024-10-03,Open,AIR.PA,127.27999877929688
2024-10-03,Open,BNP.PA,60.68000030517578
2024-10-03,Open,CS.PA,34.38999938964844
2024-10-03,Open,MT.AS,23.08838927904148
2024-10-03,Volume,AC.PA,570267.0
2024-10-03,Volume,AI.PA,524547.0
2024-10-03,Volume,AIR.PA,1739994.0
2024-10-03,Volume,BNP.PA,2721746.0
2024-10-03,Volume,CS.PA,4116560.0
2024-10-03,Volume,MT.AS,2583680.0
2024-10-04,Close,AC.PA,39.560001373291016
2024-10-04,Close,AI.PA,167.60000610351562
2024-10-04,Close,AIR.PA,126.83999633789062
2024-10-04,Close,BNP.PA,60.86000061035156
2024-10-04,Close,CS.PA,34.369998931884766
2024-10-04,Close,MT.AS,23.10818290710449
2024-10-04,High,AC.PA,39.9900016784668
2024-10-04,High,AI.PA,168.82000732421875
2024-10-04,High,AIR.PA,127.54000091552734
2024-10-04,High,BNP.PA,61.380001068115234
2024-10-04,High,CS.PA,34.5099983215332
2024-10-04,High,MT.AS,23.296215756000517
2024-10-04,Low,AC.PA,38.18000030517578
2024-10-04,Low,AI.PA,166.66000366210938
2024-10-04,Low,AIR.PA,125.55999755859376
2024-10-04,Low,BNP.PA,60.04999923706055
2024-10-04,Low,CS.PA,33.779998779296875
2024-10-04,Low,MT.AS,22.930046722634128
2024-10-04,Open,AC.PA,38.2599983215332
2024-10-04,Open,AI.PA,167.1199951171875
2024-10-04,Open,AIR.PA,126.27999877929688
2024-10-04,Open,BNP.PA,60.119998931884766
2024-10-04,Open,CS.PA,33.79999923706055
2024-10-04,Open,MT.AS,22.939943387059785
2024-10-04,Volume,AC.PA,841473.0
2024-10-04,Volume,AI.PA,644315.0
2024-10-04,Volume,AIR.PA,1519047.0
2024-10-04,Volume,BNP.PA,3156894.0
2024-10-04,Volume,CS.PA,4479995.0
2024-10-04,Volume,MT.AS,1635550.0
2024-10-07,Close,AC.PA,39.36000061035156
2024-10-07,Close,AI.PA,167.63999938964844
2024-10-07,Close,AIR.PA,127.4000015258789
2024-10-07,Close,BNP.PA,61.810001373291016
2024-10-07,Close,CS.PA,34.459999084472656
2024-10-07,Close,MT.AS,22.97952651977539
2024-10-07,High,AC.PA,39.79999923706055
2024-10-07,High,AI.PA,168.3800048828125
2024-10-07,High,AIR.PA,128.0
2024-10-07,High,BNP.PA,61.810001373291016
2024-10-07,High,CS.PA,34.7400016784668
2024-10-07,High,MT.AS,23.15766269155278
2024-10-07,Low,AC.PA,39.130001068115234
2024-10-07,Low,AI.PA,165.8000030517578
2024-10-07,Low,AIR.PA,125.66000366210938
2024-10-07,Low,BNP.PA,60.77999877929688
2024-10-07,Low,CS.PA,34.2400016784668
2024-10-07,Low,MT.AS,22.71232414970491
2024-10-07,Open,AC.PA,39.650001525878906
2024-10-07,Open,AI.PA,167.67999267578125
2024-10-07,Open,AIR.PA,127.58000183105467
2024-10-07,Open,BNP.PA,61.5099983215332
2024-10-07,Open,CS.PA,34.619998931884766
2024-10-07,Open,MT.AS,23.15766269155278
2024-10-07,Volume,AC.PA,424677.0
2024-10-07,Volume,AI.PA,589935.0
2024-10-07,Volume,AIR.PA,859831.0
2024-10-07,Volume,BNP.PA,2118029.0
2024-10-07,Volume,CS.PA,3444464.0
2024-10-07,Volume,MT.AS,1503854.0
2024-10-08,Close,AC.PA,39.150001525878906
2024-10-08,Close,AI.PA,168.89999389648438
2024-10-08,Close,AIR.PA,126.33999633789062
2024-10-08,Close,BNP.PA,61.900001525878906
2024-10-08,Close,CS.PA,34.36000061035156
2024-10-08,Close,MT.AS,22.17791557312012
2024-10-08,High,AC.PA,39.40999984741211
2024-10-08,High,AI.PA,169.05999755859375
2024-10-08,High,AIR.PA,126.91999816894533
2024-10-08,High,BNP.PA,62.150001525878906
2024-10-08,High,CS.PA,34.45000076293945
2024-10-08,High,MT.AS,22.43522316635507
2024-10-08,Low,AC.PA,38.869998931884766
2024-10-08,Low,AI.PA,166.5
2024-10-08,Low,AIR.PA,124.72000122070312
2024-10-08,Low,BNP.PA,61.11000061035156
2024-10-08,Low,CS.PA,34.029998779296875
2024-10-08,Low,MT.AS,21.99977940183472
2024-10-08,Open,AC.PA,39.0
2024-10-08,Open,AI.PA,167.47999572753906
2024-10-08,Open,AIR.PA,126.37999725341795
2024-10-08,Open,BNP.PA,61.15999984741211
2024-10-08,Open,CS.PA,34.189998626708984
2024-10-08,Open,MT.AS,22.326361753326086
2024-10-08,Volume,AC.PA,466579.0
2024-10-08,Volume,AI.PA,604324.0
2024-10-08,Volume,AIR.PA,1118793.0
2024-10-08,Volume,BNP.PA,1697615.0
2024-10-08,Volume,CS.PA,3413714.0
2024-10-08,Volume,MT.AS,2747319.0
2024-10-09,Close,AC.PA,39.72999954223633
2024-10-09,Close,AI.PA,169.32000732421875
2024-10-09,Close,AIR.PA,127.44000244140624
2024-10-09,Close,BNP.PA,62.09999847412109
2024-10-09,Close,CS.PA,34.70000076293945
2024-10-09,Close,MT.AS,22.346155166625977
2024-10-09,High,AC.PA,39.79999923706055
2024-10-09,High,AI.PA,169.63999938964844
2024-10-09,High,AIR.PA,127.44000244140624
2024-10-09,High,BNP.PA,62.13999938964844
2024-10-09,High,CS.PA,34.709999084472656
2024-10-09,High,MT.AS,22.35605183035717
2024-10-09,Low,AC.PA,39.04999923706055
2024-10-09,Low,AI.PA,167.8000030517578
2024-10-09,Low,AIR.PA,125.16000366210938
2024-10-09,Low,BNP.PA,61.459999084472656
2024-10-09,Low,CS.PA,34.279998779296875
2024-10-09,Low,MT.AS,22.0393661413414
2024-10-09,Open,AC.PA,39.29999923706055
2024-10-09,Open,AI.PA,168.5800018310547
2024-10-09,Open,AIR.PA,126.44000244140624
2024-10-09,Open,BNP.PA,61.95000076293945
2024-10-09,Open,CS.PA,34.459999084472656
2024-10-09,Open,MT.AS,22.128434227326533
2024-10-09,Volume,AC.PA,424714.0
2024-10-09,Volume,AI.PA,332865.0
2024-10-09,Volume,AIR.PA,1308104.0
2024-10-09,Volume,BNP.PA,1933761.0
2024-10-09,Volume,CS.PA,2916533.0
2024-10-09,Volume,MT.AS,1387341.0
2024-10-10,Close,AC.PA,39.63999938964844
2024-10-10,Close,AI.PA,170.02000427246094
2024-10-10,Close,AIR.PA,127.9000015258789
2024-10-10,Close,BNP.PA,61.91999816894531
2024-10-10,Close,CS.PA,34.86000061035156
2024-10-10,Close,MT.AS,22.375844955444336
2024-10-10,High,AC.PA,39.720001220703125
2024-10-10,High,AI.PA,170.02000427246094
2024-10-10,High,AIR.PA,128.9199981689453
2024-10-10,High,BNP.PA,62.45000076293945
2024-10-10,High,CS.PA,35.02000045776367
2024-10-10,High,MT.AS,22.375844955444336
2024-10-10,Low,AC.PA,39.15999984741211
2024-10-10,Low,AI.PA,168.5800018310547
2024-10-10,Low,AIR.PA,125.9800033569336
2024-10-10,Low,BNP.PA,61.880001068115234
2024-10-10,Low,CS.PA,34.59000015258789
2024-10-10,Low,MT.AS,22.0492626056511
2024-10-10,Open,AC.PA,39.54999923706055
2024-10-10,Open,AI.PA,168.74000549316406
2024-10-10,Open,AIR.PA,126.05999755859376
2024-10-10,Open,BNP.PA,62.11000061035156
2024-10-10,Open,CS.PA,34.61000061035156
2024-10-10,Open,MT.AS,22.257086879339717
2024-10-10,Volume,AC.PA,384645.0
2024-10-10,Volume,AI.PA,412459.0
2024-10-10,Volume,AIR.PA,892814.0
2024-10-10,Volume,BNP.PA,1495515.0
2024-10-10,Volume,CS.PA,3139281.0
2024-10-10,Volume,MT.AS,1855483.0
2024-10-11,Close,AC.PA,40.459999084472656
2024-10-11,Close,AI.PA,170.77999877929688
2024-10-11,Close,AIR.PA,132.9199981689453
2024-10-11,Close,BNP.PA,62.15999984741211
2024-10-11,Close,CS.PA,35.09000015258789
2024-10-11,Close,MT.AS,22.44511985778809
2024-10-11,High,AC.PA,40.459999084472656
2024-10-11,High,AI.PA,170.9199981689453
2024-10-11,High,AIR.PA,133.4600067138672
2024-10-11,High,BNP.PA,62.5099983215332
2024-10-11,High,CS.PA,35.09000015258789
2024-10-11,High,MT.AS,22.573772710766768
2024-10-11,Low,AC.PA,39.83000183105469
2024-10-11,Low,AI.PA,169.13999938964844
2024-10-11,Low,AIR.PA,126.26000213623048
2024-10-11,Low,BNP.PA,61.75
2024-10-11,Low,CS.PA,34.77000045776367
2024-10-11,Low,MT.AS,22.09874417848235
2024-10-11,Open,AC.PA,39.90999984741211
2024-10-11,Open,AI.PA,169.8000030517578
2024-10-11,Open,AIR.PA,127.73999786376952
2024-10-11,Open,BNP.PA,61.86000061035156
2024-10-11,Open,CS.PA,34.849998474121094
2024-10-11,Open,MT.AS,22.09874417848235
2024-10-11,Volume,AC.PA,572877.0
2024-10-11,Volume,AI.PA,301215.0
2024-10-11,Volume,AIR.PA,2374608.0
2024-10-11,Volume,BNP.PA,1447840.0
2024-10-11,Volume,CS.PA,2709330.0
2024-10-11,Volume,MT.AS,1647939.0
2024-10-14,Close,AC.PA,40.630001068115234
2024-10-14,Close,AI.PA,172.10000610351562
2024-10-14,Close,AIR.PA,135.1199951171875
2024-10-14,Close,BNP.PA,62.91999816894531
2024-10-14,Close,CS.PA,35.38999938964844
2024-10-14,Close,MT.AS,22.28677749633789
2024-10-14,High,AC.PA,40.68000030517578
2024-10-14,High,AI.PA,172.1999969482422
2024-10-14,High,AIR.PA,135.32000732421875
2024-10-14,High,BNP.PA,62.91999816894531
2024-10-14,High,CS.PA,35.4900016784668
2024-10-14,High,MT.AS,22.553981759382825
2024-10-14,Low,AC.PA,40.13999938964844
2024-10-14,Low,AI.PA,170.83999633789062
2024-10-14,Low,AIR.PA,132.10000610351562
2024-10-14,Low,BNP.PA,62.119998931884766
2024-10-14,Low,CS.PA,35.02000045776367
2024-10-14,Low,MT.AS,22.168019416897152
2024-10-14,Open,AC.PA,40.310001373291016
2024-10-14,Open,AI.PA,171.16000366210938
2024-10-14,Open,AIR.PA,133.47999572753906
2024-10-14,Open,BNP.PA,62.33000183105469
2024-10-14,Open,CS.PA,35.09000015258789
